,Duration,Start Time,Profile Name,Country,Bookmark,Latest Bookmark,Supplemental Video Type,Attributes,Device Type,Title,dia_da_semana,mes_do_ano,morning,afternoon,night,dawn
2798,0 days 00:09:48,2025-09-05 22:53:15+00:00,Jose,BR (Brazil),00:52:09,Not latest view,,Autoplayed: user action: User_Interaction; ,Amazon Fire TV Stick 2020 Lite Streaming Stick,A Queda da Casa de Usher: Minissérie: A máscara da morte rubra (episódio 2),4,9,,,0 days 00:09:48,
2799,0 days 00:09:38,2025-09-05 22:42:36+00:00,Jose,BR (Brazil),00:53:01,00:53:01,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,A Queda da Casa de Usher: Minissérie: Meia-noite que apavora (episódio 1),4,9,,,0 days 00:09:38,
2809,0 days 00:16:39,2025-09-05 00:13:21+00:00,Anas,BR (Brazil),00:16:39,00:16:39,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Disque Amiga para Matar: Temporada 1: Piloto (episódio 1),4,9,,,,0 days 00:16:39
2814,0 days 00:29:26,2025-09-04 23:34:44+00:00,Anas,BR (Brazil),00:29:36,00:29:36,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Caso de Polícia: Temporada 1: Qual é o segredo da top model? (episódio 2),3,9,,,0 days 00:29:26,
2815,0 days 00:44:11,2025-09-04 22:50:30+00:00,Anas,BR (Brazil),00:44:11,00:44:11,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Caso de Polícia: Temporada 1: Quem armou essa cilada? (episódio 1),3,9,,,0 days 00:44:11,
2824,0 days 00:42:37,2025-09-03 23:31:19+00:00,Anas,BR (Brazil),00:42:35,00:42:35,,Autoplayed: user action: User_Interaction; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Wandinha: Temporada 2: É guerra! (episódio 8),2,9,,,0 days 00:42:37,
2831,0 days 00:00:03,2025-09-03 22:44:41+00:00,Jose,BR (Brazil),00:00:03,00:00:03,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,1883: Temporada 1: 1883 (episódio 1),2,9,,,0 days 00:00:03,
2832,0 days 00:48:34,2025-09-03 22:42:17+00:00,Anas,BR (Brazil),00:48:43,00:48:43,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Wandinha: Temporada 2: De olho no dinheiro (episódio 7),2,9,,,0 days 00:48:34,
2833,0 days 00:04:44,2025-09-03 22:39:51+00:00,Jose,BR (Brazil),00:04:44,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,1883: Temporada 1: 1883 (episódio 1),2,9,,,0 days 00:04:44,
2834,0 days 01:03:15,2025-09-03 21:38:52+00:00,Anas,BR (Brazil),01:03:24,01:03:24,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Wandinha: Temporada 2: Conhece a ti mesmo (episódio 6),2,9,,,0 days 01:03:15,
2835,0 days 00:45:39,2025-09-03 20:51:46+00:00,Anas,BR (Brazil),00:45:39,00:45:39,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Wandinha: Temporada 2: Hyde escondido (episódio 5),2,9,,,0 days 00:45:39,
2836,0 days 01:23:23,2025-09-03 19:27:42+00:00,Anas,BR (Brazil),01:23:36,01:23:36,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Assassinato na Casa Branca: Temporada 1: O mistério do quarto amarelo (episódio 8),2,9,,,0 days 01:23:23,
2837,0 days 01:03:13,2025-09-03 18:17:14+00:00,Anas,BR (Brazil),01:03:26,01:03:26,,Autoplayed: user action: User_Interaction; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Assassinato na Casa Branca: Temporada 1: O polegar do engenheiro (episódio 7),2,9,,,0 days 01:03:13,
2838,0 days 00:33:12,2025-09-03 17:44:00+00:00,Anas,BR (Brazil),00:49:20,00:49:20,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Assassinato na Casa Branca: Temporada 1: O 3º homem (episódio 6),2,9,,0 days 00:33:12,,
2840,0 days 00:16:09,2025-09-03 01:00:28+00:00,Anas,BR (Brazil),00:16:15,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Assassinato na Casa Branca: Temporada 1: O 3º homem (episódio 6),2,9,,,,0 days 00:16:09
2841,0 days 00:21:08,2025-09-03 00:39:18+00:00,Anas,BR (Brazil),00:42:46,00:42:46,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Assassinato na Casa Branca: Temporada 1: O terceiro tiro (episódio 5),2,9,,,,0 days 00:21:08
2842,0 days 00:22:03,2025-09-02 23:40:13+00:00,Léo,BR (Brazil),00:21:51,Not latest view,,,Android DefaultWidevineL3Phone Android Phone,Arcane: Temporada 1: Entrando na brincadeira (episódio 1),1,9,,,0 days 00:22:03,
2843,0 days 00:41:55,2025-09-02 13:47:10+00:00,Anas,BR (Brazil),00:41:44,Not latest view,,Autoplayed: user action: User_Interaction; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Breaking Bad: Temporada 4: Cave (episódio 11),1,9,,0 days 00:41:55,,
2844,0 days 00:46:34,2025-09-02 13:00:34+00:00,Anas,BR (Brazil),00:46:34,00:46:34,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Breaking Bad: Temporada 4: Saúde (episódio 10),1,9,,0 days 00:46:34,,
2845,0 days 00:36:39,2025-09-02 00:03:40+00:00,Anas,BR (Brazil),00:37:42,Not latest view,,Autoplayed: user action: User_Interaction; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Parenthood - Minha família: Temporada 2: Opening Night (episódio 13),1,9,,,,0 days 00:36:39
2846,0 days 00:42:08,2025-09-01 23:21:29+00:00,Anas,BR (Brazil),00:42:38,00:42:38,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Parenthood - Minha família: Temporada 2: Meet the New Boss (episódio 12),0,9,,,0 days 00:42:08,
2847,0 days 00:14:50,2025-09-01 23:06:05+00:00,Anas,BR (Brazil),00:42:40,00:42:40,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Parenthood - Minha família: Temporada 2: Damage Control (episódio 11),0,9,,,0 days 00:14:50,
2848,0 days 00:02:13,2025-09-01 13:27:34+00:00,Anas,BR (Brazil),00:45:39,00:45:39,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Breaking Bad: Temporada 4: Escuta (episódio 9),0,9,,0 days 00:02:13,,
2849,0 days 00:43:54,2025-09-01 11:15:25+00:00,Anas,BR (Brazil),00:43:29,Not latest view,,Autoplayed: user action: User_Interaction; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Breaking Bad: Temporada 4: Escuta (episódio 9),0,9,0 days 00:43:54,,,
2850,0 days 00:40:17,2025-09-01 10:35:05+00:00,Anas,BR (Brazil),00:46:34,00:46:34,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Breaking Bad: Temporada 4: Hermanos (episódio 8),0,9,0 days 00:40:17,,,
2851,0 days 00:21:42,2025-09-01 00:34:29+00:00,Anas,BR (Brazil),00:21:42,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Assassinato na Casa Branca: Temporada 1: O terceiro tiro (episódio 5),0,9,,,,0 days 00:21:42
2852,0 days 00:27:31,2025-08-31 23:51:19+00:00,Anas,BR (Brazil),00:27:52,Not latest view,,Autoplayed: user action: User_Interaction; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Parenthood - Minha família: Temporada 2: Damage Control (episódio 11),6,8,,,0 days 00:27:31,
2853,0 days 00:27:59,2025-08-31 23:22:46+00:00,Anas,BR (Brazil),00:42:24,00:42:24,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Parenthood - Minha família: Temporada 2: Happy Thanksgiving (episódio 10),6,8,,,0 days 00:27:59,
2855,0 days 00:47:57,2025-08-31 21:50:57+00:00,Jose,BR (Brazil),00:48:31,00:48:31,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Yellowstone: Temporada 1: Amanhecer (episódio 1),6,8,,,0 days 00:47:57,
2862,0 days 00:00:03,2025-08-31 21:42:08+00:00,Jose,BR (Brazil),00:00:03,00:00:03,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,O Clube do Crime das Quintas-Feiras,6,8,,,0 days 00:00:03,
2863,0 days 00:18:55,2025-08-31 21:18:59+00:00,Jose,BR (Brazil),00:29:11,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,O Clube do Crime das Quintas-Feiras,6,8,,,0 days 00:18:55,
2876,0 days 00:49:27,2025-08-30 22:54:04+00:00,Jose,BR (Brazil),00:49:01,00:49:01,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Godless: Minissérie: Aconteceu em Creede (episódio 1),5,8,,,0 days 00:49:27,
2877,0 days 00:06:04,2025-08-30 22:20:30+00:00,Jose,BR (Brazil),00:06:04,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Godless: Minissérie: Aconteceu em Creede (episódio 1),5,8,,,0 days 00:06:04,
2886,0 days 00:48:48,2025-08-30 21:25:51+00:00,Jose,BR (Brazil),00:52:38,00:52:38,,Autoplayed: user action: User_Interaction; ,Amazon Fire TV Stick 2020 Lite Streaming Stick,Terra Indomável: Minissérie: Episódio 6 (episódio 6),5,8,,,0 days 00:48:48,
2887,0 days 00:32:28,2025-08-30 20:53:20+00:00,Jose,BR (Brazil),00:32:28,00:32:28,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Terra Indomável: Minissérie: Episódio 5 (episódio 5),5,8,,,0 days 00:32:28,
2888,0 days 00:00:13,2025-08-30 20:35:13+00:00,Jose,BR (Brazil),00:00:18,Not latest view,,Autoplayed: user action: None; ,Amazon Fire TV Stick 2020 Lite Streaming Stick,Terra Indomável: Minissérie: Episódio 5 (episódio 5),5,8,,,0 days 00:00:13,
2889,0 days 00:44:54,2025-08-30 19:50:15+00:00,Jose,BR (Brazil),00:44:59,00:44:59,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Terra Indomável: Minissérie: Episódio 4 (episódio 4),5,8,,,0 days 00:44:54,
2890,0 days 00:47:14,2025-08-30 19:02:59+00:00,Jose,BR (Brazil),00:47:19,00:47:19,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Terra Indomável: Minissérie: Episódio 3 (episódio 3),5,8,,,0 days 00:47:14,
2891,0 days 00:59:35,2025-08-30 18:02:58+00:00,Jose,BR (Brazil),00:59:28,00:59:28,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Terra Indomável: Minissérie: Episódio 2 (episódio 2),5,8,,,0 days 00:59:35,
2892,0 days 00:17:51,2025-08-30 17:45:04+00:00,Jose,BR (Brazil),00:44:36,00:44:36,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Terra Indomável: Minissérie: Episódio 1 (episódio 1),5,8,,0 days 00:17:51,,
2893,0 days 00:06:22,2025-08-30 14:56:21+00:00,Anas,BR (Brazil),00:06:22,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Breaking Bad: Temporada 4: Hermanos (episódio 8),5,8,,0 days 00:06:22,,
2894,0 days 00:46:33,2025-08-30 14:09:45+00:00,Anas,BR (Brazil),00:46:33,00:46:33,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Breaking Bad: Temporada 4: Cachorro problemático (episódio 7),5,8,,0 days 00:46:33,,
2895,0 days 00:32:18,2025-08-30 13:37:24+00:00,Anas,BR (Brazil),00:46:50,00:46:50,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Breaking Bad: Temporada 4: Encurralado (episódio 6),5,8,,0 days 00:32:18,,
2896,0 days 00:00:16,2025-08-30 13:36:32+00:00,Anas,BR (Brazil),00:14:37,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Breaking Bad: Temporada 4: Encurralado (episódio 6),5,8,,0 days 00:00:16,,
2897,0 days 00:27:14,2025-08-29 23:46:37+00:00,Jose,BR (Brazil),00:26:46,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Terra Indomável: Minissérie: Episódio 1 (episódio 1),4,8,,,0 days 00:27:14,
2901,0 days 00:03:30,2025-08-29 23:41:38+00:00,Jose,BR (Brazil),00:18:11,00:18:11,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,O Problema dos 3 Corpos: Temporada 1: Contagem regressiva (episódio 1),4,8,,,0 days 00:03:30,
2903,0 days 00:05:50,2025-08-29 23:31:50+00:00,Jose,BR (Brazil),00:05:50,00:05:50,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,O Domo de Vidro: Minissérie: Episódio 1 (episódio 1),4,8,,,0 days 00:05:50,
2908,0 days 00:01:48,2025-08-29 23:28:24+00:00,Anas,BR (Brazil),00:01:54,Not latest view,,Autoplayed: user action: None; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Assassinato na Casa Branca: Temporada 1: O terceiro tiro (episódio 5),4,8,,,0 days 00:01:48,
2910,0 days 00:19:58,2025-08-29 23:08:24+00:00,Anas,BR (Brazil),00:50:17,00:50:17,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Assassinato na Casa Branca: Temporada 1: O fim de Sheila (episódio 4),4,8,,,0 days 00:19:58,
2911,0 days 00:14:25,2025-08-29 21:34:50+00:00,Anas,BR (Brazil),00:14:26,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Parenthood - Minha família: Temporada 2: Happy Thanksgiving (episódio 10),4,8,,,0 days 00:14:25,
2912,0 days 00:14:21,2025-08-29 18:13:10+00:00,Anas,BR (Brazil),00:14:21,Not latest view,,Autoplayed: user action: User_Interaction; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Breaking Bad: Temporada 4: Encurralado (episódio 6),4,8,,,0 days 00:14:21,
2913,0 days 00:12:29,2025-08-29 18:00:38+00:00,Anas,BR (Brazil),00:46:32,00:46:32,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Breaking Bad: Temporada 4: Espingarda (episódio 5),4,8,,,0 days 00:12:29,
2914,0 days 00:34:09,2025-08-29 16:30:09+00:00,Anas,BR (Brazil),00:34:09,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Breaking Bad: Temporada 4: Espingarda (episódio 5),4,8,,0 days 00:34:09,,
2915,0 days 00:44:33,2025-08-29 14:40:54+00:00,Anas,BR (Brazil),00:44:34,00:44:34,,Autoplayed: user action: User_Interaction; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Breaking Bad: Temporada 4: Frases curtas (episódio 4),4,8,,0 days 00:44:33,,
2916,0 days 00:45:29,2025-08-29 13:55:22+00:00,Anas,BR (Brazil),00:45:33,00:45:33,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Breaking Bad: Temporada 4: Casa em exposição (episódio 3),4,8,,0 days 00:45:29,,
2917,0 days 00:30:59,2025-08-29 13:24:20+00:00,Anas,BR (Brazil),00:45:18,00:45:18,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Breaking Bad: Temporada 4: 38 cano curto (episódio 2),4,8,,0 days 00:30:59,,
2918,0 days 00:37:48,2025-08-29 01:49:53+00:00,Léo,BR (Brazil),01:37:41,01:37:41,,,Firefox PC (Cadmium),"Se Beber, Não Case! Parte III",4,8,,,,0 days 00:37:48
2919,0 days 00:32:28,2025-08-29 01:11:44+00:00,Anas,BR (Brazil),00:42:40,00:42:40,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Parenthood - Minha família: Temporada 2: Put Yourself Out There (episódio 9),4,8,,,,0 days 00:32:28
2920,0 days 00:23:59,2025-08-29 00:44:18+00:00,Anas,BR (Brazil),00:30:22,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Assassinato na Casa Branca: Temporada 1: O fim de Sheila (episódio 4),4,8,,,,0 days 00:23:59
2937,0 days 00:00:03,2025-08-28 21:10:53+00:00,Léo,BR (Brazil),01:00:09,Not latest view,,,Firefox PC (Cadmium),"Se Beber, Não Case! Parte III",3,8,,,0 days 00:00:03,
2938,0 days 00:19:23,2025-08-28 19:03:18+00:00,Léo,BR (Brazil),01:00:06,Not latest view,,,Firefox PC (Cadmium),"Se Beber, Não Case! Parte III",3,8,,,0 days 00:19:23,
2939,0 days 00:00:07,2025-08-28 19:00:37+00:00,Anas,BR (Brazil),00:35:37,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Parenthood - Minha família: Temporada 2: Put Yourself Out There (episódio 9),3,8,,,0 days 00:00:07,
2940,0 days 00:09:03,2025-08-28 17:55:38+00:00,Léo,BR (Brazil),00:41:03,Not latest view,,,Firefox PC (Cadmium),"Se Beber, Não Case! Parte III",3,8,,0 days 00:09:03,,
2942,0 days 00:00:06,2025-08-28 17:54:57+00:00,Léo,BR (Brazil),00:32:06,Not latest view,,,Firefox PC (Cadmium),"Se Beber, Não Case! Parte III",3,8,,0 days 00:00:06,,
2943,0 days 00:34:26,2025-08-28 16:56:20+00:00,Anas,BR (Brazil),00:35:30,Not latest view,,Autoplayed: user action: User_Interaction; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Parenthood - Minha família: Temporada 2: Put Yourself Out There (episódio 9),3,8,,0 days 00:34:26,,
2944,0 days 00:19:07,2025-08-28 16:37:01+00:00,Anas,BR (Brazil),00:43:22,00:43:22,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Parenthood - Minha família: Temporada 2: If This Boat Is a Rockin' (episódio 8),3,8,,0 days 00:19:07,,
2945,0 days 00:06:13,2025-08-28 13:23:04+00:00,Anas,BR (Brazil),00:06:26,Not latest view,,Autoplayed: user action: None; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Assassinato na Casa Branca: Temporada 1: O fim de Sheila (episódio 4),3,8,,0 days 00:06:13,,
2946,0 days 00:19:08,2025-08-28 13:03:06+00:00,Anas,BR (Brazil),00:47:04,00:47:04,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Assassinato na Casa Branca: Temporada 1: Entre facas e segredos (episódio 3),3,8,,0 days 00:19:08,,
2947,0 days 00:22:37,2025-08-28 00:22:04+00:00,Anas,BR (Brazil),00:23:45,Not latest view,,Autoplayed: user action: User_Interaction; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Parenthood - Minha família: Temporada 2: If This Boat Is a Rockin' (episódio 8),3,8,,,,0 days 00:22:37
2948,0 days 00:03:05,2025-08-28 00:18:50+00:00,Anas,BR (Brazil),00:42:39,00:42:39,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Parenthood - Minha família: Temporada 2: Seven Names (episódio 7),3,8,,,,0 days 00:03:05
2949,0 days 00:02:26,2025-08-27 23:30:49+00:00,Anas,BR (Brazil),00:39:36,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Parenthood - Minha família: Temporada 2: Seven Names (episódio 7),2,8,,,0 days 00:02:26,
2950,0 days 00:14:50,2025-08-27 22:54:37+00:00,Jose,BR (Brazil),00:14:50,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,O Problema dos 3 Corpos: Temporada 1: Contagem regressiva (episódio 1),2,8,,,0 days 00:14:50,
2951,0 days 00:17:32,2025-08-27 00:29:54+00:00,Anas,BR (Brazil),00:37:17,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Parenthood - Minha família: Temporada 2: Seven Names (episódio 7),2,8,,,,0 days 00:17:32
2953,0 days 00:16:46,2025-08-26 17:06:55+00:00,Léo,BR (Brazil),00:32:00,Not latest view,,,Firefox PC (Cadmium),"Se Beber, Não Case! Parte III",1,8,,0 days 00:16:46,,
2954,0 days 00:27:45,2025-08-26 00:39:22+00:00,Anas,BR (Brazil),00:27:58,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Assassinato na Casa Branca: Temporada 1: Entre facas e segredos (episódio 3),1,8,,,,0 days 00:27:45
2955,0 days 00:11:59,2025-08-26 00:26:01+00:00,Léo,BR (Brazil),00:16:46,Not latest view,,,Firefox PC (Cadmium),"Se Beber, Não Case! Parte III",1,8,,,,0 days 00:11:59
2956,0 days 00:41:56,2025-08-25 23:56:41+00:00,Anas,BR (Brazil),00:45:54,00:45:54,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Assassinato na Casa Branca: Temporada 1: Disque M para matar (episódio 2),0,8,,,0 days 00:41:56,
2960,0 days 00:18:54,2025-08-25 22:50:05+00:00,Anas,BR (Brazil),00:19:45,Not latest view,,Autoplayed: user action: User_Interaction; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Parenthood - Minha família: Temporada 2: Seven Names (episódio 7),0,8,,,0 days 00:18:54,
2961,0 days 00:59:33,2025-08-25 22:43:03+00:00,Jose,BR (Brazil),00:59:28,00:59:28,,Autoplayed: user action: User_Interaction; ,Amazon Fire TV Stick 2020 Lite Streaming Stick,Corpos: Minissérie: Saiba que você é amado (episódio 8),0,8,,,0 days 00:59:33,
2962,0 days 00:41:18,2025-08-25 21:59:04+00:00,Anas,BR (Brazil),00:42:26,00:42:26,,Autoplayed: user action: User_Interaction; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Parenthood - Minha família: Temporada 2: Orange Alert (episódio 6),0,8,,,0 days 00:41:18,
2963,0 days 00:51:15,2025-08-25 21:50:49+00:00,Jose,BR (Brazil),00:56:51,00:56:51,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Corpos: Minissérie: Pegue-me se for capaz (episódio 7),0,8,,,0 days 00:51:15,
2964,0 days 00:41:12,2025-08-25 21:17:44+00:00,Anas,BR (Brazil),00:42:38,00:42:38,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Parenthood - Minha família: Temporada 2: The Booth Job (episódio 5),0,8,,,0 days 00:41:12,
2965,0 days 00:19:37,2025-08-25 20:58:03+00:00,Anas,BR (Brazil),00:42:00,00:42:00,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Parenthood - Minha família: Temporada 2: Date Night (episódio 4),0,8,,,0 days 00:19:37,
2967,0 days 00:00:01,2025-08-25 19:56:48+00:00,Léo,BR (Brazil),00:05:17,Not latest view,,,Firefox PC (Cadmium),"Se Beber, Não Case! Parte III",0,8,,,0 days 00:00:01,
2968,0 days 00:03:45,2025-08-25 01:06:42+00:00,Anas,BR (Brazil),00:03:58,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Assassinato na Casa Branca: Temporada 1: Disque M para matar (episódio 2),0,8,,,,0 days 00:03:45
2969,0 days 00:36:06,2025-08-25 00:30:01+00:00,Anas,BR (Brazil),00:46:56,00:46:56,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Assassinato na Casa Branca: Temporada 1: A queda da casa de Usher (episódio 1),0,8,,,,0 days 00:36:06
2970,0 days 00:00:56,2025-08-24 12:55:49+00:00,Jose,BR (Brazil),00:02:38,Not latest view,,,Samsung 2017 Kant-M UHD TV Smart TV,Corpos: Minissérie: Pegue-me se for capaz (episódio 7),6,8,,0 days 00:00:56,,
2971,0 days 00:00:39,2025-08-23 23:42:24+00:00,Jose,BR (Brazil),00:01:44,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Corpos: Minissérie: Pegue-me se for capaz (episódio 7),5,8,,,0 days 00:00:39,
2972,0 days 00:00:12,2025-08-23 23:26:46+00:00,Jose,BR (Brazil),00:00:17,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Corpos: Minissérie: Pegue-me se for capaz (episódio 7),5,8,,,0 days 00:00:12,
2973,0 days 00:49:00,2025-08-23 22:37:23+00:00,Jose,BR (Brazil),00:53:03,00:53:03,,Autoplayed: user action: User_Interaction; ,Amazon Fire TV Stick 2020 Lite Streaming Stick,Corpos: Minissérie: O mundo é seu (episódio 6),5,8,,,0 days 00:49:00,
2974,0 days 00:53:27,2025-08-23 21:43:37+00:00,Jose,BR (Brazil),00:54:30,00:54:30,,Autoplayed: user action: User_Interaction; ,Amazon Fire TV Stick 2020 Lite Streaming Stick,Corpos: Minissérie: Somos os fantasmas um do outro (episódio 5),5,8,,,0 days 00:53:27,
2975,0 days 00:08:49,2025-08-23 21:34:45+00:00,Jose,BR (Brazil),00:53:26,00:53:26,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Corpos: Minissérie: Quase até os dinossauros (episódio 4),5,8,,,0 days 00:08:49,
2976,0 days 00:41:04,2025-08-23 20:41:05+00:00,Jose,BR (Brazil),00:44:40,Not latest view,,Autoplayed: user action: User_Interaction; ,Amazon Fire TV Stick 2020 Lite Streaming Stick,Corpos: Minissérie: Quase até os dinossauros (episódio 4),5,8,,,0 days 00:41:04,
2977,0 days 00:24:22,2025-08-23 20:16:01+00:00,Jose,BR (Brazil),00:54:56,00:54:56,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Corpos: Minissérie: Tudo a seu tempo (episódio 3),5,8,,,0 days 00:24:22,
2980,0 days 00:43:13,2025-08-23 19:16:36+00:00,Léo,BR (Brazil),01:41:41,01:41:41,,,Firefox PC (Cadmium),"Se Beber, não Case! Parte II",5,8,,,0 days 00:43:13,
2981,0 days 00:08:06,2025-08-23 17:46:17+00:00,Anas,BR (Brazil),00:14:23,Not latest view,,,Chrome PC (Cadmium),Breaking Bad: Temporada 4: 38 cano curto (episódio 2),5,8,,0 days 00:08:06,,
2982,0 days 00:20:20,2025-08-23 17:05:40+00:00,Léo,BR (Brazil),00:57:35,Not latest view,,,Firefox PC (Cadmium),"Se Beber, não Case! Parte II",5,8,,0 days 00:20:20,,
2983,0 days 00:37:56,2025-08-23 16:20:23+00:00,Léo,BR (Brazil),00:37:45,Not latest view,,,Firefox PC (Cadmium),"Se Beber, não Case! Parte II",5,8,,0 days 00:37:56,,
2984,0 days 00:22:42,2025-08-23 15:55:02+00:00,Jose,BR (Brazil),00:29:06,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Corpos: Minissérie: Tudo a seu tempo (episódio 3),5,8,,0 days 00:22:42,,
2985,0 days 00:05:51,2025-08-23 14:44:19+00:00,Jose,BR (Brazil),00:06:53,Not latest view,,Autoplayed: user action: User_Interaction; ,Samsung 2017 Kant-M UHD TV Smart TV,Corpos: Minissérie: Tudo a seu tempo (episódio 3),5,8,,0 days 00:05:51,,
2986,0 days 00:21:07,2025-08-23 14:23:07+00:00,Jose,BR (Brazil),00:52:24,00:52:24,,,Samsung 2017 Kant-M UHD TV Smart TV,Corpos: Minissérie: Sabe quem eu sou? (episódio 2),5,8,,0 days 00:21:07,,
2987,0 days 00:34:04,2025-08-23 10:31:24+00:00,Jose,BR (Brazil),00:31:22,Not latest view,,Autoplayed: user action: User_Interaction; ,Samsung 2017 Kant-M UHD TV Smart TV,Corpos: Minissérie: Sabe quem eu sou? (episódio 2),5,8,0 days 00:34:04,,,
2988,0 days 00:51:24,2025-08-23 09:23:44+00:00,Jose,BR (Brazil),00:53:19,00:53:19,,,Samsung 2017 Kant-M UHD TV Smart TV,Corpos: Minissérie: Você vai morrer (episódio 1),5,8,0 days 00:51:24,,,
2989,0 days 00:35:55,2025-08-23 08:47:02+00:00,Jose,BR (Brazil),00:36:00,00:36:00,,,Samsung 2017 Kant-M UHD TV Smart TV,O Gabinete de Curiosidades de Guillermo del Toro: Temporada 1: Ratos de cemitério (episódio 2),5,8,0 days 00:35:55,,,
2990,0 days 00:44:01,2025-08-23 07:41:17+00:00,Jose,BR (Brazil),00:44:02,00:44:02,,,Samsung 2017 Kant-M UHD TV Smart TV,O Gabinete de Curiosidades de Guillermo del Toro: Temporada 1: Lote 36 (episódio 1),5,8,0 days 00:44:01,,,
