CleanTitle,Profile Name,WatchedTime,watched_time_dawn,watched_time_morning,watched_time_afternoon,watched_time_night,count_per_title,last_watched_date,first_watched_date,seg_views,ter_views,qua_views,qui_views,sex_views,sab_views,dom_views,jan_views,fev_views,mar_views,abr_views,mai_views,jun_views,jul_views,ago_views,set_views,out_views,nov_views,dez_views,netflix_title,title,genre_ids,poster_path,media_type,popularity,age_of_title,vote_average,vote_count,run_time,num_seasons,origin_country,keywords,director,content_rating,is_natalino,is_super_heroi,is_dorama,is_kids,is_dystopian,is_based_on_book,is_anime,nota,avg_duration_per_session,day_between
uma segunda chance para amar,Anas,0 days 00:18:38,0 days 00:00:00,0 days 00:00:00,0 days 00:18:38,0 days 00:00:00,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,uma segunda chance para amar,Uma Segunda Chance Para Amar,"[35, 10749]",https://image.tmdb.org/t/p/w500/1vqkt1bZF5gDmID60jzhEip2WrL.jpg,movie,2.6031,7,7.192,2621,102,,['GB'],"['london, england', 'holiday', 'romcom', 'singing', 'homeless shelter', 'holiday season', 'angry', 'christmas', ""santa's elves"", 'introspective', 'intimate', 'immigrants', 'intense', 'admiring', 'adoring', 'amused', 'awestruck', 'familiar', 'vibrant']",-1,2,1,0,0,0,0,0,0,5.6,0 days 00:18:38,
o problema dos 3 corpos,Jose,0 days 00:18:20,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:18:20,2,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,o problema dos 3 corpos,O Problema dos 3 Corpos,"[10765, 9648, 18]",https://image.tmdb.org/t/p/w500/aqM8F5q59Z7sKAxKNXOKsu0rEJJ.jpg,tv,23.6444,2,7.462,1419,,1,['US'],"['china', 'based on novel or book', 'scientist', 'alien invasion', 'alien contact', 'signal', '1960s', 'thoughtful', 'alien civilization', 'imaginative', 'anxious', 'inspirational', 'cerebral', 'secret', 'thriller']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:09:10,
supermães,Anas,0 days 00:17:34,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:17:34,1,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,supermães,Supermães,[35],https://image.tmdb.org/t/p/w500/vv9iXeR2G0p73exEU94nzXVrvHs.jpg,tv,14.683,9,7.5,119,[30],7,['CA'],"['mother', 'work', 'parenthood', 'sitcom', 'workplace comedy']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:17:34,
dark winds,Jose,0 days 00:16:54,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:16:54,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,dark winds,Dark Winds,"[80, 18, 9648]",https://image.tmdb.org/t/p/w500/kDlrMN0P9ByrEH2GoRbBFeZHbcf.jpg,tv,44.5181,4,7.511,177,,4,['US'],"['detective', 'based on novel or book', '1970s', 'new mexico', 'indigenous', 'investigation', 'navajo', 'shaman', 'witchcraft', 'native american reservation', 'mysterious', 'fbi agent', 'gritty', 'indigenous customs', 'folk magic', 'tribal police']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:16:54,
one piece,Jose,0 days 00:16:51,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:16:51,1,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,one piece,ONE PIECE: A Série,"[10759, 10765]",https://image.tmdb.org/t/p/w500/aesLt9fsKSA6KCgGxA60VVxjtLk.jpg,tv,284.1384,3,8.1,1612,,3,['US'],"['ocean', 'sea', 'ship', 'friendship', 'based on comic', 'pirate', 'fighting', 'super power']",-1,3,0,1,0,0,0,1,0,5.6,0 days 00:16:51,
disque amiga para matar,Anas,0 days 00:16:39,0 days 00:16:39,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,1,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,disque amiga para matar,Disque Amiga para Matar,"[18, 35, 80]",https://image.tmdb.org/t/p/w500/skSSGAaqPDgftcqjY5gY9lEZ5Kk.jpg,tv,14.7972,7,7.3,598,,3,['US'],"['widow', 'female friendship', 'friendship', 'hit-and-run', 'murder', 'grief', 'dark comedy', 'parenthood', 'miscarriage', 'dramedy', 'sisterhood', 'tragicomedy', 'intimate', 'secrets', 'offbeat', 'witty']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:16:39,
o eternauta,Jose,0 days 00:16:15,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:16:15,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,o eternauta,O Eternauta,"[18, 10759, 10765]",https://image.tmdb.org/t/p/w500/9BaOdE76IgnMoy3a5xFDE7znsaO.jpg,tv,9.2654,1,7.501,474,,1,['AR'],"['extraterrestrial technology', 'snowstorm', 'alien invasion', 'based on graphic novel', 'aliens']",-1,5,0,0,0,0,0,1,0,5.6,0 days 00:16:15,
machos alfa,Anas,0 days 00:16:07,0 days 00:16:07,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,1,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,machos alfa,Machos Alfa,[35],https://image.tmdb.org/t/p/w500/vmtQtLhvtsikPQqjrXShs6BKBsV.jpg,tv,14.4267,4,7.535,142,,4,['ES'],"['masculinity', 'male male relationship']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:16:07,
os ratos,Jose,0 days 00:16:02,0 days 00:00:00,0 days 00:00:00,0 days 00:16:02,0 days 00:00:00,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,os ratos,Os Ratos: Uma História de The Witcher,"[14, 18, 12]",https://image.tmdb.org/t/p/w500/kC3RUDlTk0KcOFWEPWlgtDxcTTz.jpg,movie,8.8069,1,5.4,138,80,,"['US', 'PL']","['witch', 'monster', 'based on novel or book', 'magic', 'mutant', 'supernatural', 'prequel', 'spin off', 'supernatural creature', 'fantasy world', 'dark fantasy', 'supernatural being', 'fantastic realism']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:16:02,
o cisne,Jose,0 days 00:15:46,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:15:46,1,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,o cisne,O Cisne,"[18, 35]",https://image.tmdb.org/t/p/w500/2pyT6Gc0tNBgi2dOH7dyt31BdAX.jpg,movie,1.4114,3,6.793,526,17,,['US'],"['bullying', 'rifle', 'swan', 'based on short story', 'flying man', 'short film', 'minimalist', 'roald dahl']",-1,1,0,0,0,0,0,0,0,5.6,0 days 00:15:46,
dungeon meshi,Jose,0 days 00:15:38,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:15:38,2,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,dungeon meshi,Dungeon Meshi,"[16, 35, 10759, 10765]",https://image.tmdb.org/t/p/w500/A7SBIS42Kmg4FmzDuNvQSPaI3kc.jpg,tv,21.965,2,8.44,293,[26],2,['JP'],"['monster', 'cooking', 'based on manga', 'dungeon', 'fantasy world', 'seinen', 'gourmet', 'anime', 'high fantasy', 'gastronomy', 'cat girl', 'dreary', 'adventure', 'elf', 'dungeon crawling']",-1,5,0,0,0,0,0,1,1,5.6,0 days 00:07:49,
baki hanma,Jose,0 days 00:15:22,0 days 00:00:00,0 days 00:00:00,0 days 00:15:22,0 days 00:00:00,3,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,baki hanma,Baki Hanma,"[16, 10759, 10765]",https://image.tmdb.org/t/p/w500/m6qcOPFIkqUOo87g6sP2371lolB.jpg,tv,23.1858,5,8.064,542,[24],2,['JP'],"['fight', 'based on manga', 'anime', 'original net animation (ona)']",-1,5,0,0,0,0,0,1,1,5.6,0 days 00:05:07.333333333,
a mulher na cabine 10,Jose,0 days 00:15:16,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:15:16,3,,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,a mulher na cabine 10,A Mulher na Cabine 10,"[9648, 53, 80]",https://image.tmdb.org/t/p/w500/tEKwL15WOLqg1SNXFG1Va4R2f0A.jpg,movie,8.909,1,6.197,918,92,,['GB'],"['based on novel or book', 'boat', 'investigation', 'fake identity', 'murder', 'luxury yacht', 'mystery', 'melodramatic']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:05:05.333333333,
vingança & castigo,Jose,0 days 00:15:07,0 days 00:00:00,0 days 00:00:00,0 days 00:15:07,0 days 00:00:00,2,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,vingança & castigo,Vingança & Castigo,[37],https://image.tmdb.org/t/p/w500/29WYtxffy1NJhxXZ8al5XJ8US1s.jpg,movie,3.5169,5,6.634,1177,139,,['US'],"['prison', 'release from prison', 'revenge', 'bank robbery', 'cowboy', 'wild west', 'quick draw', 'outlaw gang', '19th century', 'amused', 'commanding', 'compassionate', 'exuberant']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:07:33.500000,
treta,Léo,0 days 00:14:59,0 days 00:00:00,0 days 00:00:00,0 days 00:06:13,0 days 00:08:46,3,,,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,treta,Treta,"[35, 18]",https://image.tmdb.org/t/p/w500/oJJ3sJBpbCzq2t6hKccqDcMJc7v.jpg,tv,15.1628,3,7.738,863,,2,['US'],"['husband wife relationship', 'midlife crisis', 'marriage', 'coercion', 'anthology', 'revenge', 'dark comedy', 'billionaire', 'los angeles, california', 'east asian lead', 'road rage', 'country club', 'art exhibition', 'unfaithful wife', 'asian american', 'offbeat', 'intense', 'favors']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:04:59.666666666,
a maldição da residência hill,Jose,0 days 00:14:55,0 days 00:00:00,0 days 00:00:00,0 days 00:14:55,0 days 00:00:00,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,a maldição da residência hill,A Maldição da Residência Hill,"[9648, 18]",https://image.tmdb.org/t/p/w500/mQQGdDgn4WpUL9PXssHecWkjfi1.jpg,tv,15.3524,8,8.1,2643,,1,['US'],"['sibling relationship', 'based on novel or book', 'haunted house', 'supernatural', 'family relationships', 'old dark house', 'ghost', 'curious', 'supernatural power', 'supernatural horror', 'horror']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:14:55,
a killer paradox,Anas,0 days 00:13:18,0 days 00:00:00,0 days 00:00:00,0 days 00:13:18,0 days 00:00:00,1,,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,a killer paradox,A Killer Paradox,"[80, 35, 9648, 18]",https://image.tmdb.org/t/p/w500/dNZyFS8iviJQiBTieLe76iatcxn.jpg,tv,11.4482,2,7.421,177,,1,['KR'],"['detective', 'hacker', 'ex-cop', 'serial killer', 'young adult', 'antihero', 'based on webcomic or webtoon', 'dark fiction']",-1,5,0,0,1,0,0,0,0,5.6,0 days 00:13:18,
dupla jornada,Jose,0 days 00:12:10,0 days 00:12:10,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,3,,,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,dupla jornada,Dupla Jornada,"[28, 14, 27, 35, 53]",https://image.tmdb.org/t/p/w500/gmY6yEyvLlkqrgqYNXPp1llPZeT.jpg,movie,4.2282,4,6.741,2156,113,,['US'],"['california', 'vampire', 'vampire hunter (slayer)', 'los angeles, california', 'buddy comedy']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:04:03.333333333,
sem piedade,Jose,0 days 00:12:10,0 days 00:12:10,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,2,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,sem piedade,Sem Piedade,"[10759, 18]",https://image.tmdb.org/t/p/w500/fFhFbLwsiox0pyRwDgerwoEa4OK.jpg,tv,7.0997,1,7.737,139,,1,['KR'],"['investigation', 'miniseries', 'death', 'death of brother', 'aggressive', 'brother brother relationship', 'based on webcomic or webtoon', 'excited']",-1,5,0,0,1,0,0,0,0,5.6,0 days 00:06:05,
clickbait,Jose,0 days 00:12:09,0 days 00:12:09,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,1,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,clickbait,Clickbait,"[18, 9648, 80]",https://image.tmdb.org/t/p/w500/q42t4S113jebD1khigJt8z3m1mD.jpg,tv,5.6886,5,7.135,425,[44],1,['US'],"['san francisco, california', 'adultery', 'detective', 'kidnapping', 'psychological thriller', 'missing person', 'social media', 'multiple perspectives', 'viral video', 'family man', 'geocache', 'brother sister relationship', 'adulterous affair', 'secrets', 'marital issues', 'mystery', 'clickbait']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:12:09,
adoráveis mulheres,Anas,0 days 00:11:34,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:11:34,1,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,adoráveis mulheres,Adoráveis Mulheres,"[18, 10749]",https://image.tmdb.org/t/p/w500/1dwhsiuvNyQmA9ytp3T40uz4MOv.jpg,movie,7.1426,7,7.856,6745,134,,['US'],"['new york city', 'sibling relationship', 'based on novel or book', 'massachusetts', 'affectation', 'coming of age', 'remake', 'period drama', 'american civil war', 'christmas', '19th century', 'sister sister relationship', 'female writer', 'clinical', '1860s', 'sisters', 'whimsical', 'dignified']",-1,1,1,0,0,0,0,0,0,5.6,0 days 00:11:34,
manifest,Jose,0 days 00:11:18,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:11:18,1,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,manifest,Manifest: O Mistério do Voo 828,"[10765, 9648, 18]",https://image.tmdb.org/t/p/w500/rRKLin0R9gYxpR33W7e4cxx5swI.jpg,tv,45.1486,8,7.63,1745,[42],4,['US'],"['new york city', 'time travel', 'investigation', 'presumed dead', 'passengers', 'airplane flight']",-1,3,0,0,0,0,0,0,0,5.6,0 days 00:11:18,
a grande ilusão,Jose,0 days 00:11:14,0 days 00:11:14,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,2,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,a grande ilusão,A Grande Ilusão,"[18, 80, 9648]",https://image.tmdb.org/t/p/w500/6vz0VvDYCyGNMMrvjyFldcd62i0.jpg,tv,9.1365,2,7.121,446,,1,['GB'],"['based on novel or book', 'conspiracy', 'miniseries', 'murder investigation', 'mystery', 'thriller']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:05:37,
realeza,Anas,0 days 00:10:47,0 days 00:00:00,0 days 00:00:00,0 days 00:10:47,0 days 00:00:00,1,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,realeza,Realeza Majestosa King-Ohger,"[10759, 10765, 10762]",https://image.tmdb.org/t/p/w500/9DTsXGdP9KZeA0hF3Ga8JLY1R5R.jpg,tv,18.7181,3,7.842,19,[25],2,['JP'],"['insect', 'hero', 'superhero', 'giant monster', 'king', 'super power', 'superhero team', 'kaiju', 'female superhero', 'sentai', 'super sentai', 'sentient machine', 'henshin heroes', 'tokusatsu', 'action']",-1,-1,0,1,0,0,0,0,0,5.6,0 days 00:10:47,
a criatura de gyeongseong,Jose,0 days 00:10:46,0 days 00:10:46,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,1,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,a criatura de gyeongseong,A Criatura de Gyeongseong,"[10765, 9648, 10759, 18]",https://image.tmdb.org/t/p/w500/tbHf9E7VkI0uFOfwEtcPWNoMjN8.jpg,tv,10.8511,3,7.973,301,,2,['KR'],"['monster', 'survival', 'hospital', '1940s', 'japanese occupation of korea', 'cliché']",-1,5,0,0,1,0,0,0,0,5.6,0 days 00:10:46,
pluto,Jose,0 days 00:10:43,0 days 00:00:00,0 days 00:00:00,0 days 00:10:43,0 days 00:00:00,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,pluto,PLUTO,"[16, 10765, 9648, 80]",https://image.tmdb.org/t/p/w500/tDFSYOVUmDVkEBjfxZs59r2qSo4.jpg,tv,17.9742,3,7.9,225,,1,['JP'],"['artificial intelligence (a.i.)', 'android', 'futuristic', 'mecha', 'based on manga', 'robot', 'ethical dilemma', 'seinen', 'murder mystery', 'anime', 'psychological', 'astro boy', 'original net animation (ona)']",-1,3,0,0,0,0,0,1,1,5.6,0 days 00:10:43,
oats studios,Jose,0 days 00:10:24,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:10:24,2,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,oats studios,OATS Studios,[10765],https://image.tmdb.org/t/p/w500/xv2Q6SPUbe3WYIQC2n2sfBT8w6b.jpg,tv,5.0462,5,6.631,80,,1,['US'],[],-1,5,0,0,0,0,0,0,0,5.6,0 days 00:05:12,
tomb raider,Jose,0 days 00:10:06,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:10:06,2,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomb raider,Tomb Raider: A Origem,"[28, 12, 14]",https://image.tmdb.org/t/p/w500/56liuoIqTQJazDV8BqonmoMvl9N.jpg,movie,10.5812,8,6.368,8268,122,,"['JP', 'GB', 'US']","['island', 'treasure hunt', 'remake', 'female protagonist', 'heiress', 'based on video game', 'bicycle courier', 'missing person', 'reboot', 'peril', 'slave labor', 'father daughter relationship']",-1,2,0,0,0,0,0,0,0,5.6,0 days 00:05:03,
the witcher,Jose,0 days 00:09:44,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:09:44,1,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,the witcher,The Witcher,"[18, 10759]",https://image.tmdb.org/t/p/w500/uJ1kQWTY1nElMcrrbHtDitbV85K.jpg,tv,64.6031,7,7.936,6584,,4,['US'],"['based on novel or book', 'monster', 'mutant', 'magic', 'mutation', 'fantasy world', 'dark fantasy']",-1,5,0,0,0,0,0,0,0,5.0,0 days 00:09:44,
kill bill,Léo,0 days 00:08:55,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:08:55,2,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,kill bill,Kill Bill: Volume 1,"[28, 80]",https://image.tmdb.org/t/p/w500/kU3fVSwiAw9pBsFaUTfLtXnTIAB.jpg,movie,12.5877,23,7.971,18681,111,,['US'],"['martial arts', 'japan', 'kung fu', 'sword', 'yakuza', 'sword fight', 'revenge', 'vigilante', 'female yakuza', 'samurai sword', 'retribution', 'dreary']",8,5,0,0,0,0,0,0,0,5.6,0 days 00:04:27.500000,
encomenda para o natal,Anas,0 days 00:08:32,0 days 00:08:32,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,encomenda para o natal,Encomenda para o Natal,"[10749, 35]",https://image.tmdb.org/t/p/w500/4mV4WRHGMYjMSL7G7r9PbVGQcxs.jpg,movie,0.9637,4,5.875,80,100,,['PL'],"['courier', 'christmas']",-1,-1,1,0,0,0,0,0,0,5.6,0 days 00:08:32,
expresso do amanhã,Jose,0 days 00:08:29,0 days 00:01:46,0 days 00:00:00,0 days 00:00:14,0 days 00:06:29,5,,,0,0,1,0,3,1,0,0,0,0,0,0,0,0,2,0,0,3,0,expresso do amanhã,Expresso do Amanhã,"[10765, 18]",https://image.tmdb.org/t/p/w500/mt7mmif11QXf8hsfgDAlOGJwJcV.jpg,tv,28.9704,6,7.377,1379,,4,['US'],"['winter', 'post-apocalyptic future', 'dystopia', 'rebellion', 'train', 'based on graphic novel', 'caste system', 'perpetual winter']",-1,5,0,0,0,0,1,1,0,5.6,0 days 00:01:41.800000,
que chegue a você,Anas,0 days 00:08:20,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:08:20,1,,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,que chegue a você,Que Chegue a Você: Kimi ni Todoke,"[16, 18]",https://image.tmdb.org/t/p/w500/swGezgkBg5kQDoc2i3i5PhLqQyM.jpg,tv,30.5958,17,8.4,345,,3,['JP'],"['friendship', 'high school', 'romance', 'slice of life', 'coming of age', 'school', 'based on manga', 'school life', 'heart warming', 'shoujo', 'anime', 'japanese high school', 'hokkaido, japan']",-1,3,0,0,0,0,0,1,1,5.6,0 days 00:08:20,
a maldição da mansão bly,Jose,0 days 00:08:14,0 days 00:00:00,0 days 00:00:00,0 days 00:08:14,0 days 00:00:00,2,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,a maldição da mansão bly,A Maldição da Mansão Bly,"[9648, 18]",https://image.tmdb.org/t/p/w500/V6Zy46oHLDSvL3ITh94NbL4OEo.jpg,tv,15.8323,6,7.6,1354,,1,['US'],"['based on novel or book', 'haunted house', 'haunting', 'miniseries', 'gothic', 'ghost', '1980s', 'supernatural horror', 'horror', 'romantic']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:04:07,
parasita,Jose,0 days 00:08:04,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:08:04,3,,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,parasita,Parasita,"[35, 53, 18]",https://image.tmdb.org/t/p/w500/igw938inb6Fy0YVcwIyxQ7Lu5FO.jpg,movie,25.9689,7,8.493,20286,132,,['KR'],"['dark comedy', 'private lessons', 'birthday party', 'con artist', 'working class', 'infiltration', 'psychological thriller', 'class differences', 'housekeeper', 'tutor', 'family', 'hidden room', 'unemployed', 'hiding in attic', 'domestic worker', 'wealthy family', 'south korea', 'caste violence', 'seoul, south korea', 'factual', 'amused', 'disapproving']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:02:41.333333333,
madea e o casamento nas bahamas,Anas,0 days 00:07:50,0 days 00:07:50,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,madea e o casamento nas bahamas,Madea e o Casamento nas Bahamas,"[35, 18]",https://image.tmdb.org/t/p/w500/46w5IBQahSTOkoIHF1jPKvbgRH6.jpg,movie,2.3766,1,6.041,86,102,,['US'],"['bahamas', 'dysfunctional family', 'destination wedding']",-1,2,0,0,0,0,0,0,0,5.6,0 days 00:07:50,
kengan ashura,Jose,0 days 00:07:38,0 days 00:07:15,0 days 00:00:00,0 days 00:00:23,0 days 00:00:00,3,,,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,kengan ashura,KENGAN ASHURA,"[16, 10759, 10765]",https://image.tmdb.org/t/p/w500/q1Nm4it71GroM8cQ41nIJmH8M1D.jpg,tv,21.7885,7,8.332,1023,[23],2,['JP'],"['japan', 'martial arts', 'gladiator', 'challenge', 'based on manga', 'anime', 'blood', 'original net animation (ona)']",-1,5,0,0,0,0,0,1,1,5.6,0 days 00:02:32.666666666,
crepúsculo dos deuses,Jose,0 days 00:07:22,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:07:22,2,,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,crepúsculo dos deuses,Crepúsculo dos Deuses,"[16, 10765, 10759]",https://image.tmdb.org/t/p/w500/pnsX2JgsbQvTHBR6a8yKrGALWcc.jpg,tv,5.9997,2,7.622,144,,1,['US'],"['vikings (norsemen)', 'adult animation', 'norse mythology', 'anime inspired']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:03:41,
power,Jose,0 days 00:06:56,0 days 00:06:56,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,2,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,power,Power,"[80, 18]",https://image.tmdb.org/t/p/w500/ctftzvyj8b0odco7EoS9VfJhf7K.jpg,tv,31.6094,12,7.7,1270,[60],6,['US'],"['new york city', 'nightclub', 'gangster', 'politics', 'organized crime', 'thug', 'drugs', 'kingpin', 'intense']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:03:28,
amor e batatas,Anas,0 days 00:06:46,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:06:46,1,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,amor e batatas,Amor e Batatas,"[35, 18]",https://image.tmdb.org/t/p/w500/jLsYpsmWuYunFWbje041flWpnGM.jpg,tv,4.764,1,7.789,57,[75],1,['KR'],"['office', 'romcom', 'romance', 'loving', 'absurd', 'amused']",-1,-1,0,0,1,0,0,0,0,5.6,0 days 00:06:46,
record of ragnarok,Jose,0 days 00:06:41,0 days 00:06:41,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,5,,,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,record of ragnarok,Record of Ragnarok,"[10759, 16, 10765]",https://image.tmdb.org/t/p/w500/m28Ey0LYoeqzx7mdJ25NVUqRueB.jpg,tv,15.8858,5,8.405,1846,,3,['JP'],"['fight', 'mythology', 'god', 'survival', 'tournament', 'historical fiction', 'based on manga', 'combat', 'super power', 'seinen', 'anime', 'valkyrie', 'original net animation (ona)']",-1,5,0,1,0,0,0,1,1,5.6,0 days 00:01:20.200000,
romance is a bonus book,Anas,0 days 00:06:22,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:06:22,1,,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,romance is a bonus book,Romance Is a Bonus Book,"[35, 18]",https://image.tmdb.org/t/p/w500/xJh8TVXCNjGA3ZPLJA969JJNoSB.jpg,tv,6.9057,7,7.5,98,[65],1,['KR'],"['library', 'soulmates', 'romance', 'business', 'book editor', 'older woman younger man relationship', 'friends in love', 'publishing house', 'cohabitation', 'slow burn romance', 'friends to lovers', 'secret crush', 'sismance']",-1,-1,0,0,1,0,0,0,0,5.6,0 days 00:06:22,
os assassinatos de åre,Jose,0 days 00:06:17,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:06:17,1,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,os assassinatos de åre,Os Assassinatos de Åre,"[18, 80, 9648]",https://image.tmdb.org/t/p/w500/1TUSNZdN1HWSGDMhjre0y33y1Me.jpg,tv,4.5337,1,6.683,124,,1,['SE'],"['detective', 'based on novel or book', 'suspicious', 'suspense', 'thriller']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:06:17,
antracite,Jose,0 days 00:06:11,0 days 00:00:00,0 days 00:00:00,0 days 00:06:11,0 days 00:00:00,2,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,antracite,Antracite,"[9648, 80, 18]",https://image.tmdb.org/t/p/w500/qK9dvXKBbgFOXg7O5hAvIobNVLu.jpg,tv,3.5601,2,6.25,98,,1,['FR'],['distressing'],-1,-1,0,0,0,0,0,0,0,5.6,0 days 00:03:05.500000,
